,business_id,name,city,state,categories
335,pDurCski6kcl8mcXmpcKKw,Ace of Steaks,Philadelphia,PA,"Restaurants, Cheesesteaks, Sandwiches, Burgers"
363,Qq4bJfagVGJ3Z7BDbkiXuA,Adrian's Sports Bar And Grill,Philadelphia,PA,"Bars, Caribbean, Nightlife, Restaurants, Soul Food, Sports Bars, American (Traditional)"
367,_sOrrftHYAgEi0Y2KV89hw,Advanced Open MRI of Tucson,Tucson,AZ,"Diagnostic Imaging, Diagnostic Services, Pizza, Restaurants, Doctors, Chiropractors, Radiologists, Health & Medical"
381,9PCPV34KV1B_E3v1IUi4tQ,African Small Pot,Philadelphia,PA,"Restaurants, Senegalese, African"
383,10Ir9qoqfw4BVP6nukA_KA,Agave Mexican Cuisine,Chadds Ford,PA,"Restaurants, Mexican"
387,2Z5rz2PqzkNTkfLb44TUSA,Agostino's Restaurant and Bar,Fairview Heights,IL,"Italian, American (Traditional), Event Planning & Services, Caterers, Restaurants, Nightlife, Bars, Venues & Event Spaces"
388,4NXtEZ7buJYC7KLzuhZg3Q,Aguila Sandwich Shop,Tampa,FL,"Food, Breakfast & Brunch, Cuban, Restaurants, Sandwiches, Desserts"
389,lXCa6VyCtBSASrsq0QqooQ,Aguitas Bar & Grill Night Club,Sparks,NV,"Mexican, Bars, Restaurants, Karaoke, Nightlife"
410,ZwRM2qsGJT_fkQx_MDZF8g,Akar,St. Louis,MO,"Asian Fusion, Vegan, Chinese, Restaurants, American (New), Pan Asian, Vegetarian"
437,-c6hc8kxFzeaIKoM6nWS-Q,Al's Airport Inn,Ewing,NJ,"Dive Bars, Restaurants, Nightlife, Food, Bars, Chicken Wings, American (Traditional), Beer, Wine & Spirits"
439,LA-UhlHBjHWURfesRZtE1w,Al's Donuts,Plainfield,IN,"Donuts, Food, Restaurants"
457,voedsXPlAFPHdvjAgIV2zw,Alaska King Crab House,Philadelphia,PA,"Seafood, Restaurants"
472,0cWnURpfrb4MqKSzyVN4SQ,Alcazar Tapas Bar,Santa Barbara,CA,"Tapas Bars, Restaurants"
478,YBjFuFJXKBKdsxx2TlQVPw,Aldo Lamberti Trattoria,Philadelphia,PA,"Italian, Sandwiches, Pizza, Restaurants"
483,jSu-PcNxqCTDNzJbCxRhfw,Aldo’s New York Pizza,Clearwater,FL,"Pizza, Restaurants, Burgers, Chicken Wings"
486,ZdgugTaso1nW6_uXnt_HcA,Aleida's Kitchen,Brandon,FL,"Restaurants, Caribbean, Colombian, Dominican, Latin American"
505,faSi7EoZ38xMPJEpp7-pqg,Algorithm Restaurants,Philadelphia,PA,"Food, Food Trucks, Pop-Up Restaurants, Business Consulting, Professional Services, Event Planning & Services, Street Vendors, Restaurants, Mexican, Burgers, Party Equipment Rentals, Tacos, Vegan"
517,ZsSsyknkpARZUrD6rRH27A,Alimentari,Philadelphia,PA,"Beer Bar, Bars, Nightlife, Italian, Restaurants, Wine Bars"
518,FUEmKQWb-JBVk-Rwzq6bPA,Alina Cafe,Pinellas Park,FL,"Thai, Vietnamese, Laotian, Restaurants"
528,zfivKUpA9MPwVVrqRrrDIQ,All India Restaurant and Sweets,Edmonton,AB,"Coffee & Tea, Food, Restaurants, Indian, Desserts, Buffets"
536,ZNrT_V8dzQN4_t5fjvkfDw,All-Star Medical Equipment,New Orleans,LA,
545,9KBYd2U-in2lToO98Z8lRg,Allora,Evesham Township,NJ,"Event Planning & Services, Restaurants, Caterers, Italian"
546,afUES0Ul1NYPzQa7PdT2Yw,Alloro D.O.C.,Tucson,AZ,"Steakhouses, Breakfast & Brunch, Italian, Restaurants"
615,d6IkDuDtxzBq8Cem2Jocgw,American Falafel,University City,MO,"Restaurants, Sandwiches, Falafel, Mediterranean, Salad"
645,gnau2dVvNfrO-dWazIoOOg,Amigos Mexican Grill and Empanada Factory,Wenonah,NJ,"Grocery, Food, Asian Fusion, Restaurants, Mexican"
647,f5ZXsZQn6SFA1USdUYfdDw,Amis Trattoria,Devon,PA,"Restaurants, Italian"
655,32LtRCBMoTwA6Que1voSHQ,Amore Pizza & Donair,St. Albert,AB,"Food, Donairs, Salad, Restaurants, Pizza"
706,0CSiz9Q_xuZ9YNq8KLRcSg,Angela's Pizza,Philadelphia,PA,"Restaurants, Pizza"
712,Od9x6B7FjWtIGbEhSTNZ4g,Angelo's,Southampton,PA,"Restaurants, Pizza"
731,LlGHv3iqPsLc2clOwE8qug,Angry Pepper  Waterside,Madeira Beach,FL,"Food, Restaurants, Sandwiches, Nightlife, Barbeque, Caribbean, American (New), American (Traditional), Bars, Southern, Smokehouse, Tex-Mex"
737,kZN6162vL_K68mBtmReRAg,Anita Jean's,Sparks,NV,
739,kXbzA3rrsW32N78rrLovgA,Anita's Restaurant,New Orleans,LA,"Restaurants, American (Traditional), Breakfast & Brunch"
748,UO-QrBeJYDiIfGm5oZgL2g,Anna's Taqueria,Reno,NV,"Restaurants, Mexican"
756,45XW28tWd2PZT8GiytW7Ng,Ansots Basque Chorizos & Catering,Boise,ID,"Basque, Caterers, Event Planning & Services, Meat Shops, Food, Specialty Food, Restaurants"
760,LGYIhGqbYakMMdsn_GCzJg,Anthonino's Taverna,Saint Louis,MO,"Greek, Pizza, Restaurants, Italian, Mediterranean"
762,8rmbKD_iF5V05IzlelaJlQ,Anthony's,Springfield,PA,"Venues & Event Spaces, Italian, Event Planning & Services, Restaurants"
791,zSDa7E6ifm5Ljcf8MP5vpg,Antojitos Puebla,Indianapolis,IN,"Mexican, Restaurants"
798,6XCjqn2qDDdVTDyzKde1gw,Antonio's Mexican Grill,Reno,NV,"Restaurants, Mexican"
821,_kgyGRCSf15RnynZN4LjJg,Applebee's Grill + Bar,Brandon,FL,"American (Traditional), Burgers, Bars, Restaurants, Sports Bars, Nightlife, Steakhouses"
822,l4lfhwS8dEhy3MZ3AW1S3Q,Applebee's Grill + Bar,Havertown,PA,"Nightlife, Chicken Wings, Steakhouses, Bars, Restaurants, Burgers, Sports Bars, American (Traditional)"
823,fG6Wg3yrjY5Wm7UL00y3fw,Applebee's Grill + Bar,Philadelphia,PA,"American (Traditional), Burgers, Sandwiches, Restaurants, Chicken Wings, Bars, Salad, Nightlife, Sports Bars, American (New)"
824,z4LNDEAv4WvTI7ALmQtQ5w,Applebee's Grill + Bar,St. Petersburg,FL,"Sports Bars, Nightlife, Chicken Wings, Steakhouses, Restaurants, Bars, American (Traditional), Burgers"
825,calI2y44JJN497vsW1lF0g,Applebee's Grill + Bar,Folsom,PA,"Bars, Steakhouses, Nightlife, Restaurants, Burgers, Salad, Sports Bars, American (Traditional)"
826,S4HoMHAHzNofICbaeza2mQ,Applebee's Grill + Bar,Ballwin,MO,"Burgers, Steakhouses, Sandwiches, Sports Bars, Restaurants, American (Traditional), Chicken Wings, Nightlife, Bars"
827,b0oPpfpAsSesO7Ugg9lavA,Applebee's Grill + Bar,Mount Laurel,NJ,"Sports Bars, Steakhouses, Bars, Burgers, American (New), Nightlife, American (Traditional), Restaurants"
828,-fSp2tpieaiHOtBt7SXP9Q,Applebee's Grill + Bar,Waterloo,IL,"Steakhouses, Restaurants, American (Traditional), Burgers, Bars, Sports Bars, Nightlife, Chicken Wings"
829,nFKATkd_j1iwFK9r6s0duQ,Applebee's Grill + Bar,Philadelphia,PA,"Furniture Reupholstery, Nightlife, Restaurants, Steakhouses, Bars, Local Services, Burgers, American (Traditional), Sports Bars, Chicken Wings"
830,n0XWfd9U0LDEw-n7kSb55A,Applebee's Grill + Bar,Swansea,IL,"Nightlife, Steakhouses, American (Traditional), Chicken Wings, Restaurants, Sports Bars, Burgers, Bars"
831,jX25lSWhlYefAx29d_K0tg,Applebee's Grill + Bar,Saint Louis,MO,"Steakhouses, Chicken Wings, Bars, Sports Bars, Restaurants, Burgers, American (Traditional), Nightlife"
832,13l05k8AeGBJOIp5H4wlIA,Applebee's Grill + Bar,Wilmington,DE,"Sports Bars, Steakhouses, Bars, Nightlife, Burgers, Restaurants, Chicken Wings, American (Traditional)"
833,pokS0UOGVKuILWtS1HNLBA,Applebee's Grill + Bar,Nashville,TN,"Restaurants, American (Traditional), Sports Bars, Chicken Wings, Steakhouses, American (New), Bars, Nightlife, Burgers"
834,rpsnU3gry9wl3w8XmN_9Pg,Applebee's Grill + Bar,Boise,ID,"American (Traditional), Burgers, Restaurants, Nightlife, Sports Bars, Bars, Steakhouses"
835,pdBNKH6kuerDT3TXsONQYg,Applebee's Grill + Bar,Clearwater,FL,"Restaurants, Bars, Burgers, American (Traditional), Nightlife, Sports Bars, Steakhouses"
836,G7Ayf0VadYQRMNJvT6gA3Q,Applebee's Grill + Bar,Greenwood,IN,"Bars, Burgers, Nightlife, Chicken Wings, Sports Bars, Steakhouses, Restaurants, American (Traditional)"
837,4gu54H6G9ny5v0DAYShKjg,Applebee's Grill + Bar,Greenwood,IN,"Sports Bars, American (Traditional), Burgers, Restaurants, Bars, Steakhouses, Nightlife"
838,QESeHvk9LY4F9RTYR-ZiMg,Applebee's Grill + Bar,Williamstown,NJ,"American (Traditional), Sports Bars, Nightlife, Restaurants, Steakhouses, Burgers, Bars"
839,yOib_WiUB70fqDKklnJu3Q,Applebee's Grill + Bar,Valrico,FL,"Sports Bars, American (Traditional), Bars, Chicken Wings, Steakhouses, American (New), Restaurants, Nightlife, Burgers"
840,Gu-8WeGWVs5qMVGjVgTA1A,Applebee's Grill + Bar,Voorhees Township,NJ,"Steakhouses, Restaurants, Bars, American (Traditional), Sports Bars, Burgers, Nightlife"
841,P5Wq5OwEJ0Zz7piLoToXDA,Applebee's Grill + Bar,Temple Terrace,FL,"Bars, American (Traditional), Sports Bars, Chicken Wings, Nightlife, Restaurants, Steakhouses, Burgers"
842,c5QMFe_yhgksThaR2a6rtg,Applebee's Grill + Bar,Deptford,NJ,"Steakhouses, American (Traditional), Bars, Chicken Wings, Nightlife, Restaurants, Sports Bars, Burgers, American (New)"
843,FmCxht0z_8C2DeVvdZEK5w,Applebee's Grill + Bar,Saint Charles,MO,"American (New), Nightlife, Chicken Wings, American (Traditional), Steakhouses, Sports Bars, Burgers, Bars, Restaurants"
844,qtRqU1dxdq8Mcbgcgtbx-Q,Applebee's Grill + Bar,Cherry Hill,NJ,"Bars, Nightlife, Steakhouses, American (Traditional), Sports Bars, Burgers, Restaurants"
845,y1htpGz1bd7PF7IUKZ42HA,Applebee's Grill + Bar,Shiloh,IL,"Steakhouses, American (Traditional), Sports Bars, Nightlife, Bars, Restaurants, Burgers"
846,7LvHXGCFhOXtOV_CT0PjnA,Applebee's Grill + Bar,Creve Coeur,MO,"Steakhouses, American (Traditional), Bars, Burgers, Sports Bars, Restaurants, American (New), Chicken Wings, Nightlife"
847,p7xYhOyY5JSEVqrbNT4pCA,Applebee's Grill + Bar,Meridian,ID,"Sports Bars, Steakhouses, Restaurants, Nightlife, Bars, American (Traditional), Burgers"
848,HbKOf_lcUc35aesuiTg7mg,Applebee's Grill + Bar,Indianapolis,IN,"Bars, Nightlife, American (Traditional), Sports Bars, Restaurants, Chicken Wings, Burgers, Steakhouses"
849,VgCWn5I-0rCmpYqZxAM49g,Applebee's Grill + Bar,Fenton,MO,"Restaurants, American (Traditional), Bars, Chicken Wings, Sports Bars, Nightlife, Steakhouses, Burgers"
850,1Ye_elsSB-XjKgWAHDwPbw,Applebee's Grill + Bar,New Castle,DE,"Restaurants, Bars, American (New), Nightlife, American (Traditional), Sports Bars, Steakhouses, Burgers"
851,nCT9psTRQ6_axtP-fYoGFg,Applebee's Grill + Bar,West Chester,PA,"Steakhouses, Bars, Nightlife, Restaurants, American (Traditional), Sports Bars, Burgers"
852,LkPcyptODtwbNcXn8a7TgA,Applebee's Grill + Bar,Clearwater,FL,"Bars, Restaurants, Chicken Wings, Burgers, Nightlife, Steakhouses, American (Traditional), Sports Bars"
853,irxL5OGMLI9Ws2w79qkmNw,Applebee's Grill + Bar,Avon,IN,"Chicken Wings, Burgers, Nightlife, Bars, Sports Bars, Restaurants, Steakhouses, American (Traditional)"
854,LjuVfaLEIqbHF6l8hU-kxg,Applebee's Grill + Bar,Riverview,FL,"Sports Bars, American (Traditional), Steakhouses, Burgers, Nightlife, Chicken Wings, Bars, Restaurants"
855,lBFJbU9F83W7rrjPF-LQYg,Applebee's Grill + Bar,St. Petersburg,FL,"American (Traditional), Steakhouses, Nightlife, Chicken Wings, Burgers, Sports Bars, Bars, Restaurants"
856,Gku9f-9PKkYqLhPGgD1WGA,Applebee's Grill + Bar,Reno,NV,"American (Traditional), Bars, Sports Bars, Restaurants, Chicken Wings, Nightlife, Burgers, Steakhouses"
857,5JPUBSz8qpY1emBSRVNFqA,Applebee's Grill + Bar,Wood River,IL,"American (New), Restaurants, Bars, Chicken Wings, Burgers, Steakhouses, Sports Bars, American (Traditional), Nightlife"
858,SCBYAipfLtclqn5psCyIpQ,Applebee's Grill + Bar,Spring Hill,FL,"Nightlife, American (New), Restaurants, Sports Bars, Bars, American (Traditional), Steakhouses, Burgers"
859,SuXyzZVYgzdG4KmN-pf45w,Applebee's Grill + Bar,Glen Carbon,IL,"Burgers, Restaurants, Nightlife, Sports Bars, Bars, American (Traditional), Steakhouses, Chicken Wings"
860,vpc5PFLMo0oJQzuNZaSlyA,Applebee's Grill + Bar,Tucson,AZ,"Sports Bars, American (Traditional), Bars, Burgers, Steakhouses, Nightlife, Restaurants"
861,FP5JmWFQ97meSS7LCHDfYg,Applebee's Grill + Bar,Kenner,LA,"Sports Bars, Chicken Wings, Burgers, Nightlife, Restaurants, American (Traditional), Bars, Steakhouses"
862,3LrDBhnsP4vj-Hsv7zYymA,Applebee's Grill + Bar,Turnersville,NJ,"Steakhouses, Restaurants, Burgers, American (Traditional), Sports Bars, Nightlife, Bars"
863,qOdsOVOM98hHj1SCRscjHg,Applebee's Grill + Bar,Clearwater,FL,"American (Traditional), Restaurants, Bars, Chicken Wings, Sports Bars, Steakhouses, Burgers, Nightlife"
864,_10m_xRpfqqnj9jvUUIqjA,Applebee's Grill + Bar,Limerick,PA,"Bars, Restaurants, Chicken Wings, Sports Bars, Nightlife, American (Traditional), Steakhouses, Burgers"
865,PRpjxJNfK0I_em5CNLYpVA,Applebee's Grill + Bar,New Orleans,LA,"Restaurants, Sports Bars, American (Traditional), Burgers, Nightlife, Fast Food, Steakhouses, Bars"
866,AyTluPk6mX943sH0f7EC8g,Applebee's Grill + Bar,Westampton,NJ,"Burgers, American (Traditional), Nightlife, Sports Bars, Bars, Chicken Wings, Steakhouses, Restaurants"
867,haTwYzufFqFb2sq6CHwOEQ,Applebee's Grill + Bar,Indianapolis,IN,"Bars, Sports Bars, Burgers, American (Traditional), Chicken Wings, Steakhouses, Restaurants, Nightlife"
868,gyrWGcs5-kXkvWcS6e42ZA,Applebee's Grill + Bar,Indianapolis,IN,"Sports Bars, Nightlife, Bars, Burgers, Steakhouses, American (Traditional), Sandwiches, Restaurants, Salad"
869,bbs4FBchPGkWNgsVPLYIRw,Applebee's Grill + Bar,Saint Louis,MO,"American (Traditional), Nightlife, Burgers, Restaurants, Bars, Steakhouses, Sports Bars"
870,sDaBm5V1VQMOPfCm76turg,Applebee's Grill + Bar,Philadelphia,PA,"American (Traditional), Bars, Nightlife, American (New), Restaurants, Sports Bars, Burgers, Steakhouses"
871,ucPc6Vs4py-6AdsHYEXbpQ,Applebee's Grill + Bar,Boise,ID,"Restaurants, Steakhouses, American (New), American (Traditional), Sports Bars, Burgers, Bars, Nightlife"
872,TH0W2K8pJP7e9aj66vr5TA,Applebee's Grill + Bar,Collinsville,IL,"Steakhouses, Nightlife, Sports Bars, Bars, Restaurants, Burgers, American (Traditional), Chicken Wings"
873,7JfmABOQj-OKTsf0ay3-cg,Applebee's Grill + Bar,Audubon,NJ,"Fast Food, Bars, Restaurants, Chicken Wings, Burgers, Steakhouses, Sports Bars, Nightlife, American (Traditional)"
874,hrPLZ99KVPz_7yxZVfc9kA,Applebee's Grill + Bar,Newark,DE,"Restaurants, Burgers, Bars, Steakhouses, American (Traditional), Nightlife, Sports Bars"
875,f2BLGGfczbEgw3qDP3xOMQ,Applebee's Grill + Bar,Alton,IL,"Bars, Sports Bars, Nightlife, Restaurants, Burgers, Steakhouses, American (Traditional), Chicken Wings, Fast Food"
876,1yEGEkkEz-hY4ZZ68fgYuA,Applebee's Grill + Bar,Norristown,PA,"Nightlife, American (Traditional), Steakhouses, Burgers, Restaurants, Sports Bars, Bars"
877,QrIV69RPS4LTpIwPoL22_w,Applebee's Grill + Bar,Philadelphia,PA,"Bars, Fast Food, Sports Bars, Chicken Wings, Restaurants, Steakhouses, Nightlife, American (Traditional), Burgers"
878,Sz4N01C2R3JCKU4cznr2Zw,Applebee's Grill + Bar,Florissant,MO,"Chicken Wings, American (Traditional), Bars, Burgers, Sports Bars, Restaurants, Fast Food, Nightlife, Steakhouses"
879,XokXeGm3Jy-ksFlD7fAjCA,Applebee's Grill + Bar,Aston,PA,"Restaurants, Burgers, American (Traditional), Nightlife, Sports Bars, Bars"
880,JBtEFotg7cKcbZZQsysJ_Q,Applebee's Grill + Bar,Newtown,PA,"Restaurants, Nightlife, Sports Bars, Bars, Burgers, American (Traditional), Steakhouses"
881,dH3l2TFi8mL1PUCmjvFlow,Applebee's Grill + Bar,Fishers,IN,"Burgers, Bars, Nightlife, Sports Bars, Steakhouses, Restaurants, American (Traditional)"
882,nQVNvnDjLB_mmexuwkWqVg,Applebee's Grill + Bar,Sparks,NV,"Restaurants, Burgers, Chicken Wings, Sports Bars, American (Traditional), Nightlife, Steakhouses, Bars"
883,nuZm_f6EzuJTu3iT_b6DGw,Applebee's Grill + Bar,Largo,FL,"American (Traditional), Nightlife, Bars, Burgers, Restaurants, Steakhouses, Sports Bars"
884,F7nVrNJSjHU_oehHtmEnyw,Applebee's Grill + Bar,Saint John,MO,"American (Traditional), Bars, Steakhouses, Nightlife, Restaurants, Burgers, Sports Bars"
885,8Fuj85Zzsmcp6fmb-DJH6A,Applebee's Grill + Bar,Lansdale,PA,"Sports Bars, Restaurants, Fast Food, American (Traditional), Bars, Nightlife, Steakhouses, Burgers"
886,wn1rS1Ga9xZ1BIMffnJW5A,Applebee's Grill + Bar,Sicklerville,NJ,"Fast Food, Burgers, Nightlife, Bars, American (Traditional), Chicken Wings, Sports Bars, Steakhouses, Restaurants"
887,uRQVApkAf3ZA8c76kq1liQ,Applebee's Grill + Bar,Thorndale,PA,"Bars, American (New), Restaurants, Nightlife, American (Traditional), Burgers, Sports Bars, Steakhouses"
888,D99kvKSnsCtD07mExtN_Pg,Applebee's Grill + Bar,Doylestown,PA,"Restaurants, Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Steakhouses"
889,kbPT6BFoLjh6yTyVf_UKFA,Applebee's Grill + Bar,Wesley Chapel,FL,"Restaurants, American (Traditional), Nightlife, Burgers, Bars, Sports Bars, Steakhouses"
890,U2_YSCADuUUsNg6Pvm_gmA,Applebee's Grill + Bar,East Norriton,PA,"Sports Bars, Bars, Nightlife, Steakhouses, Chicken Wings, American (Traditional), Restaurants, Burgers"
891,lNQkuczvXv6vIT9JDacpHQ,Applebee's Grill + Bar,Garden City,ID,"Restaurants, Bars, Sports Bars, American (Traditional), Steakhouses, Nightlife, Burgers"
892,1E0H5bHRDvUyeToiffQV7w,Applebee's Grill + Bar,Metairie,LA,"Bars, Chicken Wings, Burgers, Sports Bars, Nightlife, Steakhouses, American (Traditional), Restaurants"
893,jECMOFe5ZIuMkn0iVEbP_g,Applebee's Grill + Bar,Pottstown,PA,"Sports Bars, Nightlife, Bars, Restaurants, American (Traditional), Burgers, Steakhouses"
894,8LnbTdnHn8See0nS9rfPvw,Applebee's Grill + Bar,Bensalem,PA,"Nightlife, Steakhouses, Bars, Restaurants, Sports Bars, Burgers, American (Traditional)"
895,M1Oj3ioi2qPoQEHfgiXo3Q,Applebee's Grill + Bar,Carrollwood,FL,"Steakhouses, Restaurants, American (Traditional), Sports Bars, Nightlife, Burgers, Bars"
896,uamAUnL4ox5uXvjquY9wLg,Applebee's Grill + Bar,Pennsville,NJ,"Bars, Nightlife, American (Traditional), Restaurants, Chicken Wings, Burgers, Steakhouses, Sports Bars"
897,mTxQPA9W24fQMR5Ro-TkJg,Applebee's Grill + Bar,Plant City,FL,"Restaurants, Steakhouses, American (Traditional), Sports Bars, Burgers, Nightlife, Bars"
898,F3358ikraJtY9hUaYF0obA,Applebee's Grill + Bar,Granite City,IL,"Steakhouses, Sports Bars, Restaurants, Bars, American (Traditional), American (New), Burgers, Chicken Wings, Nightlife"
899,ViWlWxiCPd9DoxOKOtL-yQ,Applebee's Grill + Bar,Indianapolis,IN,"Nightlife, Burgers, American (Traditional), Bars, Chicken Wings, Sports Bars, Steakhouses, Restaurants"
900,hZtDA2MptLT7zdhDQ5bKRQ,Applebee's Grill + Bar,New Port Richey,FL,"Steakhouses, Fast Food, Nightlife, American (Traditional), Restaurants, Bars, Burgers, Sports Bars"
901,Lo-nR399PiQkJRx44ue3NA,Applebee's Grill + Bar,Brownsburg,IN,"American (Traditional), Sports Bars, Fast Food, Burgers, Bars, Steakhouses, Restaurants, Nightlife"
